country,year,mobile_broad_price_i271mb_ts_GNI,series_code,series_name,series_units,variable
BLR,2020,0.74,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
BLR,2021,0.761874,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
BLR,2022,0.623159,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
BLR,2023,0.57,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
BGR,2013,1.07,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
BGR,2014,1.06,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
BGR,2015,0.98,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
BGR,2016,0.898323,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
BGR,2017,1.06838,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
BGR,2018,0.9,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
BGR,2019,0.9,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
BGR,2020,1.23,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
BGR,2021,1.07642,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
BGR,2022,0.512552,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
BGR,2023,0.48,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
CYP,2013,0.87,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
CYP,2014,0.91,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
CYP,2015,0.76,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
CYP,2016,0.771465,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
CYP,2017,0.85519,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
CYP,2018,0.97,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
CYP,2019,0.97,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
CYP,2020,0.9,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
CYP,2021,0.806173,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
CYP,2022,0.248812,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
CYP,2023,0.22,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
DEU,2013,0.61,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
DEU,2014,0.5,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
DEU,2015,0.4,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
DEU,2016,0.289606,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
DEU,2017,0.466096,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
DEU,2018,0.45,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
DEU,2019,0.37,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
DEU,2020,0.42,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
DEU,2021,0.290831,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
DEU,2022,0.270912,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
DEU,2023,0.25,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
DNK,2013,0.34,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
DNK,2014,0.35,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
DNK,2015,0.14,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
DNK,2016,0.144921,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
DNK,2017,0.391649,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
DNK,2018,0.38,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
DNK,2019,0.38,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
DNK,2020,0.35,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
DNK,2021,0.4906,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
DNK,2022,0.406424,i271mb_ts_GNI,Data-only mobile broadband basket,% GNI per capita,mobile_broad_price
