country,year,fixed_broad_price,fixed_broad_price_ppp,fixed_broad_price_usd,mobile_broad_price,mobile_broad_price_ppp,mobile_broad_price_usd,carry,s100,fixed_broadband_subs,internet_users_pct,population,gdp_per_capita,urban_population_pct,education_tertiary_pct,population_ages_15_64,gdp_growth,inflation_gdp_deflator,population_density,secure_internet_servers,research_development_expenditure,regulatory_quality_estimate,ntl_sum,imputed_controls,eap,region,y,y_count,p,p_usd,p_ppp,log_fixed_broad_price,log_mob_price,log_mobile_broad_price,log_gdp_per_capita,log_population_density,log_secure_internet_servers,log_internet_users_pct,log_ntl_pc,subreg,z_sub,z_nn,p_lag,y_lag,s_lag
ARM,2010,11.52,68.14,32.37,,,,False,3.19288671267022,93586.0,25.0,3044800,3041.34450723339,64.3304164043132,50.5839875932926,69.9705705545878,2.2000000002151,7.76871548067652,106.947664207938,9.85286389910667,0.24139,0.3844424,105243.0,0,1.0,EaP,1.1609254332003744,11.446636078629007,2.444084655267745,3.4772320679381528,4.22156441223282,2.444084655267745,,,8.020054968743029,4.6723395952519375,2.287762164102407,3.2188758248682006,-3.3649185345047092,SC,1.1778828027323853,1.160786698496371,,,
ARM,2011,7.36,42.44,21.04,,,,False,5.49292214098522,160573.0,32.0,3027900,3349.55309771906,64.3207449145194,51.2949290708131,69.9991499247162,4.69999999867412,4.28154999826118,106.354056902002,17.8341424749827,0.27014,0.3710118,130107.0,0,1.0,EaP,1.7034603800356007,11.98650394680944,1.9960599327407849,3.046425387869509,3.7480913137457823,1.9960599327407849,,,8.1165822122541,4.666773687622976,2.88111473663349,3.4657359027997265,-3.1472674000763234,SC,1.131948119189467,1.0583463714222212,2.444084655267745,1.1609254332003744,3.19288671267022
ARM,2012,3.63,24.37,11.2,,,,False,7.25580730107633,212053.0,37.5,3024100,3511.56399687426,64.3268379506998,44.4855719494927,69.877939557455,7.20000000096486,5.34580441814725,106.220583069898,28.7688899176615,0.23853,0.4081354,160674.0,0,1.0,EaP,1.9818021552766605,12.264591522409356,1.2892326482767593,2.4159137783010487,3.193352867637115,1.2892326482767593,,,8.163816800372278,4.665517904245784,3.3592945921009902,3.624340932976365,-2.934991338041332,SC,1.187015476721032,1.181102334694041,1.9960599327407849,1.7034603800356007,5.49292214098522
ARM,2013,3.35,23.37,10.99,2.61,18.18,8.54,False,8.31673235203342,243058.0,41.9,3022000,3680.16692158886,64.3584061131466,44.8347790892711,69.6400159040937,3.3,3.36682464224465,106.146821215314,52.2832561217737,0.22216,0.3441588,141103.0,0,1.0,EaP,2.118269431538319,12.401055376969971,1.208960345836975,2.39698576841553,3.1514531485507664,1.208960345836975,0.959350221334602,0.959350221334602,8.21071338926169,4.664823241542735,3.95667616917642,3.735285826928092,-3.0641840226832846,SC,1.0655423874158372,1.0855613984886052,1.2892326482767593,1.9818021552766605,7.25580730107633
ARM,2014,3.01,21.53,10.1,2.51,17.94,8.42,False,9.3376315946157,272885.0,54.6228058583362,3013800,3852.11800610384,64.4142934233291,47.7150849538629,69.3383433330299,3.60000000058993,2.30918242990974,105.858798735511,60.3888778286549,0.24151,0.1234003,64193.0,0,1.0,EaP,2.2340526434911627,12.516805739997075,1.1019400787607843,2.312535423847214,3.0694473113762717,1.1019400787607843,0.9202827531436925,0.9202827531436925,8.256378407470539,4.6621061186941075,4.100804946074879,4.000451485255912,-3.849062849500719,SC,1.1113053581596133,1.1624199757873783,1.208960345836975,2.118269431538319,8.31673235203342
ARM,2015,2.5,20.5,8.37,2.19,17.94,7.32,False,9.80149439763493,286319.0,59.1008337674937,3004600,3512.39350276709,64.4929623431549,48.7313687040259,68.961951131008,3.19999999896625,1.21390990471085,105.535651563049,74.5523530586434,0.25002,0.2129025,51935.0,0,1.0,EaP,2.2825348636057607,12.564861852838112,0.9162907318741551,2.124653884501384,3.0204248861443626,0.9162907318741551,0.7839015438284094,0.7839015438284094,8.164052993685441,4.659048825338378,4.311501604208853,4.079245032053549,-4.057906789948548,SC,0.8886273915125866,0.9636754470009581,1.1019400787607843,2.2340526434911627,9.3376315946157
ARM,2016,2.57,19.79,8.32,2.25,17.31,7.28,False,10.2497847569184,299170.0,64.3460297653742,2992300,3524.42476874707,64.5928753345316,54.3432877365993,68.5339571072627,0.199999999825991,0.268575076501392,105.103617843344,186.144437389299,0.23305,0.2424884,58777.0,0,1.0,EaP,2.3272567060388942,12.608767252675671,0.9439058989071284,2.1186622548331173,2.9851767596144745,0.9439058989071284,0.8109302162163288,0.8109302162163288,8.167472515759012,4.654946700157664,5.226522917461811,4.164275234630984,-3.9300469795272575,SC,0.6514563760904197,0.773653002550677,0.9162907318741551,2.2825348636057607,9.80149439763493
ARM,2017,3.11,25.4,10.36,2.18,17.78,7.25,False,10.8172556564183,315319.0,64.7448843250726,2979400,3869.05373867752,64.7124948593667,55.5065519523494,68.1111272919884,7.50000000164144,2.15064189848613,104.650509308044,268.174800295361,0.22788,0.2658499,117068.0,0,1.0,EaP,2.3811426050566915,12.661340103787362,1.1346227261911428,2.337952236831337,3.2347491740244907,1.1346227261911428,0.7793248768009977,0.7793248768009977,8.26076524415627,4.6506263156555505,5.591639007802917,4.170454690895879,-3.2367222543958607,SC,0.8621683964553104,0.8983930429772546,0.9439058989071284,2.3272567060388942,10.2497847569184
ARM,2018,2.93,25.62,10.33,1.47,12.84,5.18,False,11.9399374219278,347448.0,68.2450522610271,2969000,4196.00562301769,64.8502833795679,57.4585357681354,67.836738214504,5.19999999965324,2.78770951425761,104.285212504391,333.108790838666,0.18876,0.2852478,76092.0,0,1.0,EaP,2.479888866906149,12.75837029250199,1.075002423028976,2.3350522831315472,3.2433732964685884,1.075002423028976,0.3852624007906449,0.3852624007906449,8.341888309605302,4.647129573473817,5.808469135841088,4.223104937093302,-3.664037340257865,SC,0.8426436123587691,0.8602230999397988,1.1346227261911428,2.3811426050566915,10.8172556564183
ARM,2019,2.93,25.62,10.33,1.47,12.84,5.18,True,13.2819462446608,385704.0,66.5439496866159,2962500,4597.22887399548,65.0047033570428,53.5944174785534,67.6540902691366,7.59999999853918,1.06562263923419,104.056902002107,477.974683544304,0.17854,0.2583707,120438.0,0,1.0,EaP,2.5864056878780475,12.862825514897017,1.075002423028976,2.3350522831315472,3.2433732964685884,1.075002423028976,0.3852624007906449,0.3852624007906449,8.433208982253502,4.6449378841534354,6.169557767792416,4.197862626908299,-3.202653687746542,SC,0.8946782923058723,0.9281229485054511,1.075002423028976,2.479888866906149,11.9399374219278
