freq,unit,geo,time,value
A,PC_HH,AL,2018,82.79
A,PC_HH,AL,2019,85.45
A,PC_HH,AL,2020,87.15
A,PC_HH,AL,2021,90.87
A,PC_HH,AT,2010,63.7
A,PC_HH,AT,2011,71.98
A,PC_HH,AT,2012,77.41
A,PC_HH,AT,2013,79.79
A,PC_HH,AT,2014,79.38
A,PC_HH,AT,2015,80.91
A,PC_HH,AT,2016,85.09
A,PC_HH,AT,2017,88.38
A,PC_HH,AT,2018,87.69
A,PC_HH,AT,2019,89.33
A,PC_HH,AT,2020,89.29
A,PC_HH,AT,2021,91.01
A,PC_HH,AT1,2010,65.27
A,PC_HH,AT1,2011,73.64
A,PC_HH,AT1,2012,78.57
A,PC_HH,AT1,2013,79.0
A,PC_HH,AT1,2014,79.86
A,PC_HH,AT1,2015,82.8
A,PC_HH,AT1,2016,85.65
A,PC_HH,AT1,2017,88.55
A,PC_HH,AT1,2018,87.61
A,PC_HH,AT1,2019,90.95
A,PC_HH,AT1,2020,90.92
A,PC_HH,AT1,2021,91.64
A,PC_HH,AT11,2010,62.87
A,PC_HH,AT11,2011,67.31
A,PC_HH,AT11,2012,73.06
A,PC_HH,AT11,2013,78.42
A,PC_HH,AT11,2014,80.23
A,PC_HH,AT11,2016,82.54
A,PC_HH,AT11,2017,85.05
A,PC_HH,AT11,2018,88.81
A,PC_HH,AT11,2019,87.01
A,PC_HH,AT11,2020,86.45
A,PC_HH,AT11,2021,90.7
A,PC_HH,AT12,2010,62.2
A,PC_HH,AT12,2011,73.86
A,PC_HH,AT12,2012,75.34
A,PC_HH,AT12,2013,74.12
A,PC_HH,AT12,2014,76.17
A,PC_HH,AT12,2016,82.53
A,PC_HH,AT12,2017,88.86
A,PC_HH,AT12,2018,84.54
A,PC_HH,AT12,2019,91.01
A,PC_HH,AT12,2020,90.4
A,PC_HH,AT12,2021,90.7
A,PC_HH,AT13,2010,68.0
A,PC_HH,AT13,2011,74.31
A,PC_HH,AT13,2012,81.78
A,PC_HH,AT13,2013,82.83
A,PC_HH,AT13,2014,82.61
A,PC_HH,AT13,2016,88.45
