,fixed_broad_price,bandwidth_use,bb_subs_per100,gdp_per_capita,internet_users_pct,population,log_price,log_bandwidth_use,log_bb_subs,log_gdp_pc
count,462.0,462.0,462.0,462.0,462.0,462.0,462.0,462.0,462.0,462.0
mean,30.679264502164507,929368.7424242424,4781669.755411255,29738.253156716906,76.7950186147186,15701819.346320346,3.3696946233630944,13.143412421064085,14.498818965145562,9.942061946658173
std,10.619334202111455,1038276.7096796469,7476428.154851813,24541.800525839004,15.37579406964555,20711002.01635855,0.3402519579372262,1.1854526571151953,1.35548926711097,0.915912395433539
min,11.39,10547.0,93586.0,2094.47387695313,23.3,414508.0,2.4414770918606643,9.263606219600776,11.446637147164328,7.647105411645276
25%,23.96,253597.5,679750.25,13014.5996218394,68.826675,2981834.75,3.1805504515705225,12.443498952665424,13.429480279738598,9.473830238216495
50%,29.475,496000.0,2206025.0,22776.94587765315,80.00045,8767117.0,3.38692939557352,13.114331407319948,14.60663083692281,10.033498644884007
75%,35.95,1281000.0,4268265.0,44724.424808855496,88.606325,11526198.0,3.584906748268331,14.063076910372878,15.266717658326444,10.708277190103942
max,76.97,4800000.0,38368400.0,134965.815442152,99.3479,83901923.0,4.344714099789901,15.384126496711453,17.462744764715808,11.812777547336298
