,fixed_broad_price,fixed_broad_price,fixed_broad_price,fixed_broad_price,fixed_broad_price,fixed_broad_price,fixed_broad_price,fixed_broad_price,bandwidth_use,bandwidth_use,bandwidth_use,bandwidth_use,bandwidth_use,bandwidth_use,bandwidth_use,bandwidth_use,bb_subs_per100,bb_subs_per100,bb_subs_per100,bb_subs_per100,bb_subs_per100,bb_subs_per100,bb_subs_per100,bb_subs_per100,gdp_per_capita,gdp_per_capita,gdp_per_capita,gdp_per_capita,gdp_per_capita,gdp_per_capita,gdp_per_capita,gdp_per_capita,internet_users_pct,internet_users_pct,internet_users_pct,internet_users_pct,internet_users_pct,internet_users_pct,internet_users_pct,internet_users_pct,population,population,population,population,population,population,population,population,log_price,log_price,log_price,log_price,log_price,log_price,log_price,log_price,log_bandwidth_use,log_bandwidth_use,log_bandwidth_use,log_bandwidth_use,log_bandwidth_use,log_bandwidth_use,log_bandwidth_use,log_bandwidth_use,log_bb_subs,log_bb_subs,log_bb_subs,log_bb_subs,log_bb_subs,log_bb_subs,log_bb_subs,log_bb_subs,log_gdp_pc,log_gdp_pc,log_gdp_pc,log_gdp_pc,log_gdp_pc,log_gdp_pc,log_gdp_pc,log_gdp_pc
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EU,378.0,31.81032328042328,10.664605449545231,12.53,24.662499999999998,30.41155,37.1707,76.97,378.0,978761.6322751322,1094674.7547609368,23000.0,297182.25,500500.0,1300000.0,4800000.0,378.0,5413575.253968254,8081904.260856675,125889.0,810104.25,2486690.0,4700927.5,38368400.0,378.0,35255.311936257436,23833.295570415255,6853.94805511171,18419.728702194,27875.612027131298,48186.749109731245,134965.815442152,378.0,80.12615317460317,12.25635967658235,39.93,72.9007,82.0574,89.770225,99.3479,378.0,16476660.701058201,21728128.01408481,414508.0,2968222.25,8767117.0,16792064.5,83901923.0,378.0,3.408752381345361,0.3320904080611266,2.5360749363624,3.209330030053759,3.4181052991632113,3.6182074437533833,4.344714099789901,378.0,13.207044010106168,1.1552381150760458,10.04325384272792,12.602101087587618,13.123322656798614,14.07787489935484,15.384126496711453,378.0,14.616816122965735,1.3854453904553694,11.74315663963633,13.604783423050014,14.72642249752432,15.363194496419489,17.462744764715808,378.0,10.275468033241943,0.6219679398916712,8.83259471366059,9.82118195531989,10.235507121641987,10.782838800413057,11.812777547336298
EaP,84.0,25.5895,8.815232617819285,11.39,18.9075,24.735750000000003,30.39,68.14,84.0,707100.7380952381,695342.1597324417,10547.0,194660.75,468237.5,1093212.5,3095000.0,84.0,1938095.011904762,1944337.2368899835,93586.0,510384.5,1042345.0,2983777.5,8066310.0,84.0,4911.488648784513,1679.1483181210897,2094.47387695313,3647.4888916015675,4474.72369978055,6116.01851440712,8341.31809294883,84.0,61.80491309523808,18.783959125837974,23.3,47.404849999999996,64.54545,78.303075,91.5125,84.0,12215033.25,14933459.748867592,2457783.0,2989075.0,6420513.5,9781867.25,46456003.0,84.0,3.193934712442894,0.32230342292688,2.4414770918606643,2.9448221521430473,3.2122433814232276,3.4173987610001637,4.223030903183424,84.0,12.857070270374711,1.281423050221255,9.263606219600776,12.178766500066946,13.05653670961668,13.904614860708534,14.945298496411011,84.0,13.967831754954776,1.0666706651003295,11.446637147164328,13.142918931924953,13.856486625804424,14.908570991363021,15.903206699002508,84.0,8.4417345570312,0.3434367996683642,7.647105411645276,8.201812057009562,8.406144000575821,8.718422185425613,9.028988516024215
