region,fixed_broad_price,bandwidth_use,bb_subs_per100,gdp_per_capita,internet_users_pct
EU,31.81032328042328,978761.6322751322,5413575.253968254,35255.311936257436,80.12615317460317
EaP,25.5895,707100.7380952381,1938095.011904762,4911.488648784513,61.80491309523809
Difference,-6.220823280423279,-271660.8941798941,-3475480.2420634916,-30343.823287472922,-18.321240079365083
Pct_Diff,-19.555988870605727,-27.7555724725762,-64.19935216594428,-86.06879820645293,-22.865493167307317
