country,year,fixed_broad_price_usd,fixed_broad_price,fixed_broad_price_ppp,mobile_broad_price_usd,mobile_broad_price,mobile_broad_price_ppp,fixed_broadband_subs,fixed_broadband_subs_alt,internet_users_pct,int_bandwidth,int_bandwidth_alt,int_bandwidth_i994u,int_bandwidth_i994B,mobile_subs,mobile_subs_i911,access_to_electricity,education_secondary_pct,education_tertiary_pct,electric_power_consumption,gdp_growth,gdp_per_capita,gdp_per_capita_constant,high_tech_exports,ict_goods_exports,inflation_gdp_deflator,labor_force_advanced_education,population,population_ages_15_64,population_density,regulatory_quality_estimate,research_development_expenditure,secure_internet_servers,urban_population_pct,wage_salaried_workers,region,log_fixed_broadband_subs,log_internet_users_pct,log_int_bandwidth,log_mobile_subs,log_fixed_broad_price,log_fixed_broad_price_usd,log_fixed_broad_price_ppp,log_mobile_broad_price,log_gdp_per_capita,log_population,log_population_density,log_secure_internet_servers,eap,eu,log_price_x_eap,log_price_x_eu,log_fixed_broad_price_lag1,log_mobile_broad_price_lag1,time_trend,time_trend_sq,post_covid
ARM,2010,32.37,11.52,68.14,8.54,2.61,18.18,93586,3.19289,25.0,10547.0,3598.33,14393.3,123825.0,3865350.0,131.875,99.8,90.3963600803793,50.5839875932926,1631.30583289543,2.2000000002151,3041.34450723339,2796.08143428043,4727643.0,0.75,7.76871548067652,68.547,3044800,69.9705705545878,106.947664207938,0.268946558237076,0.24139,9.85286389910667,63.44,34.8793195962965,EaP,11.44664676393084,3.258096538021482,9.263691547473178,15.167563050886695,2.5273273656719524,3.5076572927632825,4.236133434493478,1.2837077723447896,8.020383716648002,14.928946103952764,4.681646519004976,2.3844289989915,1,0,2.5273273656719524,0.0,,,0,0,0
ARM,2011,21.04,7.36,42.44,8.54,2.61,18.18,160573,5.49292,32.0,26050.0,8911.25,27847.7,169248.0,3211220.0,109.85,99.5,90.2399978637695,51.2949290708131,1716.70134416592,4.69999999867412,3349.55309771906,2943.83687119315,7448895.0,0.73,4.28154999826118,69.797,3027900,69.9991499247162,106.354056902002,0.246940597891808,0.27014,17.8341424749827,63.34,34.9750150555207,EaP,11.986510174487108,3.4965075614664802,10.167811434160654,14.982161796614188,2.1234584270966104,3.092858984284714,3.77138067562568,1.2837077723447896,8.116880714987715,14.923380198156904,4.676132314966113,2.9356713118348083,1,0,2.1234584270966104,0.0,2.5273273656719524,1.2837077723447896,1,1,0
ARM,2012,11.2,3.63,24.37,8.54,2.61,18.18,212053,7.25581,37.5,30000.0,10265.1,27373.6,145101.0,3322840.0,113.697,99.5,92.0871294900711,44.4855719494927,1804.50381931814,7.20000000096486,3511.56399687426,3159.75860786889,7581096.0,1.26,5.34580441814725,69.97,3024100,69.877939557455,106.220583069898,0.334273397922516,0.23853,28.7688899176615,63.24,35.1524010656528,EaP,12.264596238200419,3.6506582412937387,10.308985993422082,15.016330697862141,1.5325568680981427,2.501435951739211,3.2335673736111907,1.2837077723447896,8.164101533226702,14.92212441519471,4.674888236454909,3.393463885708379,1,0,1.5325568680981427,0.0,2.1234584270966104,1.2837077723447896,2,4,0
ARM,2013,10.99,3.35,23.37,8.54,2.61,18.18,243058,8.31673,41.9,45600.0,15603.0,37238.6,194523.0,3346280.0,114.5,99.4,92.991693911866,44.8347790892711,1851.75380542687,3.3,3680.16692158886,3266.29882999873,9332592.0,0.16,3.36682464224465,70.175,3022000,69.6400159040937,106.146821215314,0.23518268764019,0.22216,52.2832561217737,63.164,35.350051372826,EaP,12.401059491205844,3.758871825933971,10.727684925086583,15.023360137875395,1.4701758451005926,2.4840729690394228,3.193352867637115,1.2837077723447896,8.210985079155792,14.921429752721451,4.674200054800231,3.9756221377614396,1,0,1.4701758451005926,0.0,1.5325568680981427,1.2837077723447896,3,9,0
ARM,2014,10.1,3.01,21.53,8.42,2.51,17.94,272885,9.33763,54.6228,61528.0,21053.8,38543.9,225472.0,3459140.0,118.365,99.7,95.1422776758471,47.7150849538629,1895.28170416086,3.60000000058993,3852.11800610384,3393.09252326884,9307631.0,0.26,2.30918242990974,74.514,3013800,69.3383433330299,105.858798735511,0.15851990878582,0.24151,60.3888778286549,63.112,35.5076192759048,EaP,12.516809404537698,4.018593189142463,11.027263887367784,15.056530850314873,1.3887912413184778,2.4069451083182885,3.114847754444153,1.2556160374777743,8.25663797122797,14.918712630773157,4.671508324987037,4.117228675888965,1,0,1.3887912413184778,0.0,1.4701758451005926,1.2837077723447896,4,16,0
ARM,2015,8.37,2.5,20.5,7.32,2.19,17.94,286319,9.80149,59.1008,118187.0,40458.7,68457.1,225472.0,3464490.0,118.599,100.0,94.6314347635673,48.7313687040259,1909.40557811356,3.19999999896625,3512.39350276709,3512.39350276709,11860132.0,0.15,1.21390990471085,76.864,3004600,68.961951131008,105.535651563049,0.189176842570305,0.25002,74.5523530586434,63.085,35.9334694959808,EaP,12.564865345439907,4.096023152600656,11.680031855957703,15.058076282268742,1.252762968495368,2.2375130962503307,3.068052935133617,1.1600209167967532,8.164337659305383,14.91565533843341,4.668479685591591,4.324825833947078,1,0,1.252762968495368,0.0,1.3887912413184778,1.2556160374777743,5,25,0
ARM,2016,8.32,2.57,19.79,7.28,2.25,17.31,299170,10.2498,64.346,111054.0,38047.9,59130.2,225472.0,3434570.0,117.671,99.8,93.9730352238513,54.3432877365993,1889.85061658256,0.199999999825991,3524.42476874707,3533.88503607007,21845447.0,0.18,0.268575076501392,74.624,2992300,68.5339571072627,105.103617843344,0.20515838265419,0.23305,186.144437389299,63.082,36.2268124010574,EaP,12.608770595251226,4.179696229321604,11.61778085307261,15.049402585009384,1.2725655957915476,2.2321626286975,3.0344721018699214,1.1786549963416462,8.167756209758831,14.911553214620781,4.664416143467855,5.23188071116919,1,0,1.2725655957915476,0.0,1.252762968495368,1.1600209167967532,6,36,0
ARM,2017,10.36,3.11,25.4,7.25,2.18,17.78,315319,10.8173,64.7449,208092.0,71387.5,110260.0,225472.0,3488520.0,119.676,99.7,90.0999984741211,55.5065519523494,2006.10861247231,7.50000000164144,3869.05373867752,3815.3747426037,28282166.0,0.19,2.15064189848613,73.609,2979400,68.1111272919884,104.650509308044,0.228397324681282,0.22788,268.174800295361,63.103,36.4208367812517,EaP,12.661343275173845,4.185782101509511,12.245740374141771,15.064988422122584,1.413423028508143,2.4300984132930052,3.2733640101522705,1.1568811967920856,8.261023671890602,14.90723283156562,4.660136564760753,5.595360983787736,1,0,1.413423028508143,0.0,1.2725655957915476,1.1786549963416462,7,49,0
ARM,2018,10.33,2.93,25.62,5.18,1.47,12.84,347448,11.9399,68.2451,341244.0,117267.0,171833.0,225472.0,3579260.0,123.0,99.9,94.4654445463654,57.4585357681354,1938.69989895588,5.19999999965324,4196.00562301769,4027.83393010979,36529310.0,0.32,2.78770951425761,74.291,2969000,67.836738214504,104.285212504391,0.350590288639069,0.18876,333.108790838666,63.149,36.659576499407,EaP,12.758373170626372,4.23765238444123,12.740355973359312,15.090666912487391,1.3686394258811698,2.427454075039915,3.2816628129669656,0.9042181506398858,8.342126603103408,14.903736090559581,4.656672977221359,5.811466661014958,1,0,1.3686394258811698,0.0,1.413423028508143,1.1568811967920856,8,64,0
ARM,2019,10.33,2.93,25.62,5.18,1.47,12.84,385704,13.2819,66.5439,662562.0,228157.0,342867.0,225472.0,3618750.0,124.614,100.0,94.7464467221341,53.5944174785534,2084.05063291139,7.59999999853918,4597.22887399548,4343.45839583019,45573711.0,0.28,1.06562263923419,71.007,2962500,67.6540902691366,104.056902002107,0.242604270577431,0.17854,477.974683544304,63.219,39.1321309128657,EaP,12.862828107555385,4.2127777568496985,13.403870926660957,15.10163949664192,1.3686394258811698,2.427454075039915,3.2816628129669656,0.9042181506398858,8.43342648094282,14.90154440197821,4.654502127199425,6.171647743288282,1,0,1.3686394258811698,0.0,1.3686394258811698,0.9042181506398858,9,81,0
ARM,2020,12.37,3.19,35.96,3.71,0.96,10.79,430407,14.8884,76.5077,590968.0,204424.0,267194.0,225472.0,3488800.0,120.682,100.0,89.879997253418,52.3331534448642,2114.13135235523,-7.19999999920631,4268.68093304583,4032.09043454955,26514439.0,0.43,1.80659270159933,73.862,2961500,67.4875319646095,105.027376627853,0.238748028874397,0.2092,587.877764646294,63.313,38.8659851509159,EaP,12.972488875017564,4.3503772862626455,13.289518841543806,15.06506868214216,1.4327007339340463,2.5930133911138515,3.6098362467734835,0.6729444732424258,8.359294380490686,14.901206792365823,4.6636973308401775,6.378218631802297,1,0,1.4327007339340463,0.0,1.3686394258811698,0.9042181506398858,10,100,1
ARM,2021,11.54,3.51,35.97,3.46,1.05,10.79,466621,16.2566,78.6123,477470.0,166346.0,211603.0,225472.0,3599280.0,125.395,100.0,94.7174619293061,56.6235144830279,2262.09364345272,5.80000000065645,4685.17997128509,4264.79961505187,37562644.0,0.51,6.90051365787157,75.206,2962300,67.3509680096337,105.056940272915,0.131828442215919,0.20557,712.95952469365,63.431,37.2683102834072,EaP,13.053274787050759,4.377168603526013,13.076258704074306,15.096244661256977,1.506297153514587,2.5289235352047745,3.6101067729485403,0.7178397931503168,8.452373024494369,14.901476889173537,4.663976122272619,6.570826272628621,1,0,1.506297153514587,0.0,1.4327007339340463,0.6729444732424258,11,121,1
ARM,2022,17.77,4.2,46.85,4.0,0.94,10.54,510781,17.7301,77.0277,432550.0,150145.0,194924.0,225472.0,3760700.0,130.54,100.0,91.6414184570312,57.1818422625098,2403.67775831874,12.5999999997766,6571.97445545099,4791.00481712183,497178920.0,9.78,7.98587852828175,70.294,2969200,67.2222792072338,105.297053157777,-0.0190788023173809,0.20955,862.185100363734,63.573,38.7253912916261,EaP,13.143698163678586,4.357063891851624,12.977455517477308,15.140115934159226,1.6486586255873816,2.9322598505984176,3.8680711178989635,0.6626879730752367,8.790721741971375,14.903803451016527,4.666237563023633,6.760629152863228,1,0,1.6486586255873816,0.0,1.506297153514587,0.7178397931503168,12,144,1
