country,year,fixed_broadband_subs_i4213tfbb,fixed_broadband_subs_i992b,fixed_broad_price_i154_FBB_ts$,fixed_broad_price_i154_FBB_ts_GNI,fixed_broad_price_i154_FBB_ts_PPP,internet_users_pct_i99H,int_bandwidth_i4214,int_bandwidth_i994,int_bandwidth_i994B,int_bandwidth_i994u,mobile_broad_price_i271mb_ts$,mobile_broad_price_i271mb_ts_GNI,mobile_broad_price_i271mb_ts_PPP,mobile_subs_i271,mobile_subs_i911,access_to_electricity,education_secondary_pct,education_tertiary_pct,electric_power_consumption,gdp_growth,gdp_per_capita,gdp_per_capita_constant,high_tech_exports,ict_goods_exports,inflation_gdp_deflator,labor_force_advanced_education,population,population_ages_15_64,population_density,regulatory_quality_estimate,research_development_expenditure,secure_internet_servers,urban_population_pct,wage_salaried_workers,region
ARM,2021,466621.0,16.2566,11.538,3.50535,35.9721,78.6123,477470.0,166346.0,,211603.0,3.4614,1.0516,10.7916,3599280.0,125.395,100.0,94.7174619293061,56.6235144830279,2262.09364345272,5.80000000065645,4685.17997128509,4264.79961505187,37562644.0,0.51,6.90051365787157,75.206,2962300.0,67.3509680096337,105.056940272915,0.131828442215919,0.20557,712.95952469365,63.431,37.2683102834072,EaP
ARM,2022,510781.0,17.7301,17.7748,4.19931,46.8499,77.0277,432550.0,150145.0,,194924.0,3.99934,0.944846,10.5412,3760700.0,130.54,100.0,91.6414184570312,57.1818422625098,2403.67775831874,12.5999999997766,6571.97445545099,4791.00481712183,497178920.0,9.78,7.98587852828175,70.294,2969200.0,67.2222792072338,105.297053157777,-0.0190788023173809,0.20955,862.185100363734,63.573,38.7253912916261,EaP
ARM,2023,545876.0,18.5458,20.67,3.28,46.57,79.9966,459005.0,155944.0,,194938.0,5.17,0.82,11.64,3959450.0,134.52,100.0,92.7667388916016,56.2770051010456,,8.29999999959539,8125.27395754003,5197.23509013575,822532500.0,,2.67300354889213,72.326,2964300.0,67.2436198631987,105.119108748259,0.047635018825531,0.18115,1177.00637587289,63.739,39.0938487456676,EaP
AUT,2010,2050400.0,24.5114,39.31,0.96,35.05,75.17,345530.0,41306.2,170296.0,54950.4,,,,12241000.0,146.334,100.0,76.5599975585938,75.0402526855469,8395.38541962101,1.80898243043663,46611.1393420232,43035.4073531933,15801989058.0,3.95,0.891338694909649,75.466,8363404.0,67.5198292810067,101.350024236549,1.4505158662796,2.7261,690.149608939135,57.399,81.44195684568,EU
AUT,2011,2097700.0,24.9926,39.31,0.94,35.12,78.74,427421.0,50924.3,205689.0,64673.9,,,,13022600.0,155.155,100.0,76.4300003051758,77.2625122070312,8406.10116517111,2.92746800169145,51116.8953522042,44146.1956805294,17846798301.0,3.79,1.81993743804168,76.071,8391643.0,67.6180439804748,101.692232186137,1.37697684764862,2.66868,1068.4439268925,57.115,82.1745367138698,EU
AUT,2012,2130200.0,25.2645,24.61,0.59,22.3,80.03,510567.0,60554.0,241746.0,75664.1,,,,13588000.0,161.156,100.0,76.9800033569336,79.5471267700195,8526.93674287434,0.628246239479637,48250.4059142637,44221.4599530893,18475532604.0,3.89,2.09166476490424,76.648,8429991.0,67.5601644337772,102.156943771207,1.51716470718384,2.91472,1613.40623020831,57.147,82.5371653279299,EU
AUT,2013,2232500.0,26.3223,25.4316,0.603121,22.06,80.6188,728138.0,85851.1,328730.0,106490.0,5.31,0.13,4.61,13272000.0,156.483,100.0,77.3099975585938,80.9616012573242,8501.23876406383,-0.250726423318454,50305.3545774973,43851.3675497404,20793050424.0,4.21,1.70872288191161,77.013,8479823.0,67.4266821192924,102.760821619001,1.48221373558044,2.95492,1857.46801554702,57.336,82.5358933564748,EU
AUT,2014,2359000.0,27.5977,25.41,0.613818,22.15,80.9958,330000.0,38606.3,139890.0,47664.6,6.63,0.16,5.78,12952600.0,151.531,100.0,78.4300003051758,81.0195693969727,8342.73695128076,0.755798850316665,51314.9722616322,43838.8345892137,21648234621.0,4.28,2.00674413208939,76.676,8546356.0,67.3108310981136,103.567086766844,1.48217010498047,3.08429,2345.32706103046,57.526,82.4455145827591,EU
AUT,2015,2455500.0,28.4069,23.46,0.566703,24.46,83.9401,360000.0,41647.2,,49615.4,6.54,0.16,6.82,13470600.0,155.837,100.0,79.0100021362305,82.2563095092773,8318.46625689498,1.30352331826198,43915.228020857,43915.228020857,18084614342.0,4.12,2.29263470154871,76.79,8642699.0,67.234719049435,104.734597673291,1.3904470205307,3.04969,3081.90763093797,57.715,82.832738028665,EU
AUT,2016,2523300.0,28.8776,23.4,0.59,24.7,84.3237,395000.0,45205.3,,53609.2,5.53097,0.140439,5.84034,11079500.0,126.798,100.0,79.370002746582,82.8496932983398,8255.77897660756,2.11721964494312,45061.4993920192,44362.6702805116,17333979956.0,3.79,1.81475082333313,76.749,8736668.0,67.1339749165576,105.873339796413,1.42889010906219,3.11655,4449.98024418463,57.905,83.1700198207692,EU
AUT,2017,2511400.0,28.5426,31.722,0.837728,32.9943,87.9356,405000.0,46029.1,,52344.1,5.63445,0.148797,5.86045,10859000.0,123.415,100.0,79.6600036621094,83.8392562866211,8458.13489776604,2.27224992038207,47163.7425775142,45056.6385912412,17025647706.0,3.48,0.975317906732371,77.229,8797566.0,66.974326831199,106.61131846825,1.42786145210266,3.05656,7431.71463561626,58.094,83.5141852577346,EU
AUT,2018,2521200.0,28.515,33.93,0.83,34.21,87.4791,,,,,13.84,0.34,13.95,10984000.0,124.23,100.0,80.0708180825642,85.8698883056641,8396.45084265961,2.48422114080024,51194.0749841299,45951.5819164034,16680037036.0,3.41,1.81047996133594,76.643,8840521.0,66.8074529749847,107.131858943286,1.5240364074707,3.09182,16705.0109377038,58.297,83.8631013308959,EU
AUT,2019,2518900.0,28.3632,32.95,0.8,33.22,87.7522,,,,,11.81,0.29,11.91,10726000.0,120.776,100.0,80.6699981689453,86.3234329223633,8339.93999945946,1.75497619649288,49885.9947355204,46550.5622459492,15967500783.0,3.13,1.47368502823586,76.606,8879920.0,66.6368554183168,107.609306834707,1.44640731811523,3.13265,26298.32250741,58.515,83.8697145832508,EU
AUT,2020,2606000.0,29.2106,33.91,0.8,36.31,87.5294,,,,,11.34,0.27,12.15,10717400.0,120.132,100.0,80.9440184335445,88.7071990966797,8025.46724947246,-6.31825509209936,48716.4098900349,43428.6983137234,15995936181.0,3.09,2.59313253599376,76.765,8916864.0,66.4370522356064,108.057004362579,1.39522731304169,3.20278,33802.6911703487,58.748,83.7767035787212,EU
AUT,2021,2623200.0,29.2537,33.6431,0.798662,33.0971,92.5292,,,,,12.0584,0.286259,11.8628,10882200.0,121.358,100.0,81.454239120584,93.940071105957,8396.01433574254,4.79532885699543,53648.7190742245,45313.3988964964,17019360151.0,4.95,1.9261293509801,76.768,8955797.0,66.1764816581673,108.528805138148,1.34041571617126,3.26361,39775.2427840872,58.995,83.7839854632888,EU
AUT,2022,2649990.0,29.2343,29.5973,0.741459,34.2889,93.6141,,,,,9.56058,0.239507,11.0761,10983300.0,121.166,100.0,82.0893352573971,94.5116882324219,8256.60586532558,5.27789448538658,52176.6649141178,47250.9695999523,23542335794.0,4.88,4.75477807605142,79.946,9041851.0,65.8640953229773,109.571631119729,1.28319978713989,3.20048,39544.447259748,59.256,83.98344633854,EU
AUT,2023,2681840.0,29.3725,13.94,0.31,16.32,95.3347,,,,,9.24,0.21,10.82,11116000.0,121.746,100.0,82.5592927591342,91.6818237304688,7806.05186666624,-0.954962529389121,56033.573792065,46338.9570588922,27308757068.0,,6.64765359130317,79.741,9131761.0,65.5333445996897,110.661185167232,1.36136972904205,,42281.0014410145,59.53,84.2784453625398,EU
AZE,2010,475295.0,5.19627,12.47,2.79,31.74,46.0,38000.0,4154.44,82608.7,9031.38,,,,9100110.0,99.489,99.9,88.6500015258789,19.2600431394615,1603.43137406492,4.7888327097977,5843.5337683582,5300.11049447988,7200494.0,0.01,13.8276655951811,,9054332.0,71.8007526197132,109.542344173442,-0.392555356025696,0.21848,2.5402205264839,53.406,31.9447483193235,EaP
AZE,2011,973869.0,10.5213,12.47,2.71,30.36,50.0,62000.0,6698.25,65395.0,13396.5,,,,10120100.0,109.334,99.9,88.6600036621094,19.6473062365442,1705.4246326371,-1.57299762108384,7189.81869211976,5149.20665199301,10332315.0,0.0,24.6069500302329,,9173082.0,72.0939429460413,110.976336228798,-0.386364638805389,0.21084,4.90565766227752,53.637,31.7122956504888,EaP
AZE,2012,1369590.0,14.6072,12.73,2.43,30.67,54.2,94000.0,10025.4,73406.8,18497.1,,,,10125200.0,107.989,100.0,88.7099990844727,20.4384614704139,2052.65096521176,2.20293902267809,7495.86527658099,5193.175009361,45373920.0,0.0,2.84498257716874,,9295784.0,72.0406993018106,112.460790244138,-0.488716810941696,0.21427,10.7575649348135,53.883,33.3083851683355,EaP
AZE,2013,1712180.0,18.0146,12.7389,2.07981,30.39,73.0,143000.0,15045.6,89187.8,20610.5,8.92,1.46,21.27,10130100.0,106.583,100.0,88.7200012207031,21.4404253568261,2092.53652062946,5.84341576237254,7875.34536661549,5425.99558858555,73389339.0,0.04,0.413164057278522,,9416801.0,71.6592530898028,113.923480806688,-0.425340503454208,0.20969,16.7785217081682,54.145,33.4867522130525,EaP
AZE,2014,1898070.0,19.7076,12.75,2.01572,,75.0,187000.0,19416.2,98521.1,25888.2,8.92,1.41,,10552500.0,109.567,100.0,88.7099990844727,23.1597349800287,2202.39391828846,2.79758543403628,7890.84028062087,5508.6026585312,33923114.0,0.01,-1.33020442312517,,9535079.0,71.2018299395149,115.348813858679,-0.26849365234375,0.20978,22.9678222907225,54.422,33.1462530679603,EaP
AZE,2015,1899460.0,19.4759,9.76,1.54312,,77.0,260000.0,26658.9,,34621.9,6.83,1.08,,10697100.0,109.682,100.0,88.6699981689453,25.4831961094662,2244.92014532391,1.04954636804402,5500.50364628486,5500.50364628486,13928754.0,0.02,-8.80961552629613,,9649341.0,70.7521032313631,116.731076781631,-0.37079980969429,0.22232,33.2665204805178,54.714,32.0607544260174,EaP
AZE,2016,1803660.0,18.2771,6.27,1.15,,78.2,260000.0,26346.6,,33691.4,2.50627,0.458463,,10189000.0,103.248,100.0,88.6600036621094,27.2368629930846,2215.66064195539,-3.06359845351244,3880.6852276838,5272.71816973266,11727294.0,0.02,14.6283390014427,,9757812.0,70.2891585164324,118.033288980283,-0.395615547895432,0.20637,101.867098894711,55.021,31.8146404635806,EaP
AZE,2017,1805210.0,18.1092,5.81005,1.70884,26.3872,79.0,360000.0,36113.7,,45713.6,2.32402,0.683536,10.5549,10127000.0,101.59,100.0,88.5,28.4670565431322,2120.55307710051,0.153614646686151,4147.1981423222,5229.25259747579,14069403.0,0.02,16.226204566647,,9854033.0,69.9448498293551,119.208741622511,-0.372420430183411,0.18468,259.487663578963,55.343,31.6706652671032,EaP
AZE,2018,1890910.0,18.8342,5.88,1.74,23.99,79.8,414000.0,41235.9,,51674.1,4.71,1.39,19.19,10339700.0,102.987,100.0,88.4300003051758,28.9724903670069,2182.74646367607,1.5004017069941,4739.7943123408,5261.92938170171,21177987.0,0.02,12.1844329641443,,9939771.0,69.8692138262529,120.25759188908,-0.314388334751129,0.18416,329.383845965868,55.68,31.5824067791626,EaP
AZE,2019,1943010.0,19.2178,5.88,1.74,23.99,81.1,485050.0,47975.0,,59155.4,4.71,1.39,19.19,10750300.0,106.328,100.0,88.4199981689453,32.9221812477847,2243.85125599507,2.47980893443938,4805.75371765917,5346.95319282755,27996627.0,0.02,-0.221652923789676,,10024283.0,69.825581884135,121.280071139933,-0.223895654082298,0.20013,368.804432197295,56.031,31.3257112669954,EaP
AZE,2020,1995470.0,19.5986,5.88,1.54,20.41,84.6,688000.0,67572.0,,79872.4,4.71,1.23,16.33,10344300.0,101.597,100.0,,36.3854742250215,2257.18090568814,-4.19896079231232,4229.91064904503,5087.50022691293,33914977.0,0.14,-7.49363332447324,,10093121.0,69.7266672756005,122.124736829369,-0.336040139198303,0.2239,299.312769558593,56.397,31.643429859987,EaP
AZE,2021,2055650.0,20.0857,5.88235,1.6931,20.1071,86.0,692122.0,67627.2,,78636.3,5.88235,1.6931,20.1071,10817100.0,105.694,100.0,,39.0095977224788,2389.09028137407,5.61644026860644,5408.04535175023,5349.5822595965,22212874.0,0.02,21.5888365820726,,10137750.0,69.708000115884,122.658802177858,-0.0650539621710777,0.20836,416.857784025055,56.776,32.0369687971842,EaP
AZE,2022,2096700.0,20.3656,7.64706,1.74655,25.6607,88.0,1089590.0,105834.0,,120266.0,5.88235,1.3435,19.739,11068100.0,107.506,100.0,,41.0017793895325,2365.86247983091,4.71468037857544,7770.594223351,5599.58525100539,49582911.0,0.07,37.2707210689435,,10141756.0,69.6758832959182,122.707271627344,-0.103344202041626,0.1513,544.580248233146,57.17,32.3829189109023,EaP
