Region,Countries,Observations,Mean Internet Users (%),SD,Min,Max,2010 Mean,2024 Mean,Growth (pp)
EU,27,405,80.71999298245615,12.23530097323228,39.93,99.7692,68.56517777777778,91.40910952380952,22.843931746031743
EaP,6,90,62.18675882352941,19.0007947767812,23.3,94.2618,30.44666666666667,94.2618,63.81513333333332
