price_definition,dependent_var,eu_elasticity,eu_se,eu_pval,eap_elasticity,eap_se,eap_pval,interaction_coef,interaction_pval,n_obs,r_squared,economically_valid
USD,Internet Users,-0.04552714258324741,0.04274022441299942,0.2877004120327886,-0.5138500742943102,0.07917071398377153,3.878382059951946e-10,-0.4683229317110628,1.6052270623845288e-11,327,0.4813023310026119,True
GNI%,Internet Users,-0.03270184976536355,0.04292183747349846,0.4467674039588396,-0.515032303161002,0.07796300235520673,1.9918111604511068e-10,-0.4823304533956385,1.5019097077129118e-12,326,0.522192296813457,True
PPP,Internet Users,-0.052934088928116727,0.038653252152670424,0.17198506942725955,-0.604231816839267,0.1043292800450209,1.921369552349006e-08,-0.5512977279111503,3.2966277485613205e-08,319,0.3444304348773617,True
