region,covid_effect_log,covid_effect_pct,std_error,p_value,significant
EU,0.10209718756498426,10.749110086107638,0.02448570694932836,3.757771521617492e-05,***
EaP,0.2936028469662,34.12511159250631,0.06460328956406194,7.337983042532414e-06,***
Difference,0.19150565940121572,21.10716870611762,0.06908787786078266,0.005838474319436182,***
