country,year,gdp_per_capita,gdp_per_capita_constant,gdp_growth,inflation_gdp_deflator,population,population_density,urban_population_pct,population_ages_15_64,education_tertiary_pct,education_secondary_pct,labor_force_advanced_education,secure_internet_servers,electric_power_consumption,access_to_electricity,regulatory_quality_estimate,high_tech_exports,ict_goods_exports,research_development_expenditure,wage_salaried_workers
ARM,2010,3041.34450723339,2796.08143428043,2.2000000002151,7.76871548067652,3044800.0,106.947664207938,63.44,69.9705705545878,50.5839875932926,90.3963600803793,68.547,9.85286389910667,1631.30583289543,99.8,0.268946558237076,4727643.0,0.75,0.24139,34.8793195962965
ARM,2011,3349.55309771906,2943.83687119315,4.69999999867412,4.28154999826118,3027900.0,106.354056902002,63.34,69.9991499247162,51.2949290708131,90.2399978637695,69.797,17.8341424749827,1716.70134416592,99.5,0.246940597891808,7448895.0,0.73,0.27014,34.9750150555207
ARM,2012,3511.56399687426,3159.75860786889,7.20000000096486,5.34580441814725,3024100.0,106.220583069898,63.24,69.877939557455,44.4855719494927,92.0871294900711,69.97,28.7688899176615,1804.50381931814,99.5,0.334273397922516,7581096.0,1.26,0.23853,35.1524010656528
ARM,2013,3680.16692158886,3266.29882999873,3.3,3.36682464224465,3022000.0,106.146821215314,63.164,69.6400159040937,44.8347790892711,92.991693911866,70.175,52.2832561217737,1851.75380542687,99.4,0.23518268764019,9332592.0,0.16,0.22216,35.350051372826
ARM,2014,3852.11800610384,3393.09252326884,3.60000000058993,2.30918242990974,3013800.0,105.858798735511,63.112,69.3383433330299,47.7150849538629,95.1422776758471,74.514,60.3888778286549,1895.28170416086,99.7,0.15851990878582,9307631.0,0.26,0.24151,35.5076192759048
ARM,2015,3512.39350276709,3512.39350276709,3.19999999896625,1.21390990471085,3004600.0,105.535651563049,63.085,68.961951131008,48.7313687040259,94.6314347635673,76.864,74.5523530586434,1909.40557811356,100.0,0.189176842570305,11860132.0,0.15,0.25002,35.9334694959808
ARM,2016,3524.42476874707,3533.88503607007,0.199999999825991,0.268575076501392,2992300.0,105.103617843344,63.082,68.5339571072627,54.3432877365993,93.9730352238513,74.624,186.144437389299,1889.85061658256,99.8,0.20515838265419,21845447.0,0.18,0.23305,36.2268124010574
ARM,2017,3869.05373867752,3815.3747426037,7.50000000164144,2.15064189848613,2979400.0,104.650509308044,63.103,68.1111272919884,55.5065519523494,90.0999984741211,73.609,268.174800295361,2006.10861247231,99.7,0.228397324681282,28282166.0,0.19,0.22788,36.4208367812517
ARM,2018,4196.00562301769,4027.83393010979,5.19999999965324,2.78770951425761,2969000.0,104.285212504391,63.149,67.836738214504,57.4585357681354,94.4654445463654,74.291,333.108790838666,1938.69989895588,99.9,0.350590288639069,36529310.0,0.32,0.18876,36.659576499407
ARM,2019,4597.22887399548,4343.45839583019,7.59999999853918,1.06562263923419,2962500.0,104.056902002107,63.219,67.6540902691366,53.5944174785534,94.7464467221341,71.007,477.974683544304,2084.05063291139,100.0,0.242604270577431,45573711.0,0.28,0.17854,39.1321309128657
ARM,2020,4268.68093304583,4032.09043454955,-7.19999999920631,1.80659270159933,2961500.0,105.027376627853,63.313,67.4875319646095,52.3331534448642,89.879997253418,73.862,587.877764646294,2114.13135235523,100.0,0.238748028874397,26514439.0,0.43,0.2092,38.8659851509159
ARM,2021,4685.17997128509,4264.79961505187,5.80000000065645,6.90051365787157,2962300.0,105.056940272915,63.431,67.3509680096337,56.6235144830279,94.7174619293061,75.206,712.95952469365,2262.09364345272,100.0,0.131828442215919,37562644.0,0.51,0.20557,37.2683102834072
ARM,2022,6571.97445545099,4791.00481712183,12.5999999997766,7.98587852828175,2969200.0,105.297053157777,63.573,67.2222792072338,57.1818422625098,91.6414184570312,70.294,862.185100363734,2403.67775831874,100.0,-0.0190788023173809,497178920.0,9.78,0.20955,38.7253912916261
ARM,2023,8125.27395754003,5197.23509013575,8.29999999959539,2.67300354889213,2964300.0,105.119108748259,63.739,67.2436198631987,56.2770051010456,92.7667388916016,72.326,1177.00637587289,,100.0,0.047635018825531,822532500.0,,0.18115,39.0938487456676
AUT,2010,46611.1393420232,43035.4073531933,1.80898243043663,0.891338694909649,8363404.0,101.350024236549,57.399,67.5198292810067,75.0402526855469,76.5599975585938,75.466,690.149608939135,8395.38541962101,100.0,1.4505158662796,15801989058.0,3.95,2.7261,81.44195684568
AUT,2011,51116.8953522042,44146.1956805294,2.92746800169145,1.81993743804168,8391643.0,101.692232186137,57.115,67.6180439804748,77.2625122070312,76.4300003051758,76.071,1068.4439268925,8406.10116517111,100.0,1.37697684764862,17846798301.0,3.79,2.66868,82.1745367138698
AUT,2012,48250.4059142637,44221.4599530893,0.628246239479637,2.09166476490424,8429991.0,102.156943771207,57.147,67.5601644337772,79.5471267700195,76.9800033569336,76.648,1613.40623020831,8526.93674287434,100.0,1.51716470718384,18475532604.0,3.89,2.91472,82.5371653279299
AUT,2013,50305.3545774973,43851.3675497404,-0.250726423318454,1.70872288191161,8479823.0,102.760821619001,57.336,67.4266821192924,80.9616012573242,77.3099975585938,77.013,1857.46801554702,8501.23876406383,100.0,1.48221373558044,20793050424.0,4.21,2.95492,82.5358933564748
