seriesID,seriesCode,seriesName,seriesParent,seriesUnits,entityID,entityIso,entityName,dataValue,dataYear,dataNote,dataSource,seriesDescription,country_iso3
11624,i99H,Individuals using the Internet,,%,25,AZE,Azerbaijan,73.0,2013,Population age 7+.,State Statistical Committee of Azerbaijan Republic,Refers to the proportion of individuals who used the Internet from any location in the last three months. Access can be via a fixed or mobile network.,AZE
11624,i99H,Individuals using the Internet,,%,25,AZE,Azerbaijan,75.0,2014,,State Statistical Committee of the Republic of Azerbaijan,Refers to the proportion of individuals who used the Internet from any location in the last three months. Access can be via a fixed or mobile network.,AZE
11624,i99H,Individuals using the Internet,,%,25,AZE,Azerbaijan,77.0,2015,,State Statistical Committee of the Republic of Azerbaijan,Refers to the proportion of individuals who used the Internet from any location in the last three months. Access can be via a fixed or mobile network.,AZE
11624,i99H,Individuals using the Internet,,%,25,AZE,Azerbaijan,78.2,2016,,State Statistical Committee of the Republic of Azerbaijan,Refers to the proportion of individuals who used the Internet from any location in the last three months. Access can be via a fixed or mobile network.,AZE
11624,i99H,Individuals using the Internet,,%,25,AZE,Azerbaijan,79.0,2017,,State Statistical Committee of the Republic of Azerbaijan,Refers to the proportion of individuals who used the Internet from any location in the last three months. Access can be via a fixed or mobile network.,AZE
11624,i99H,Individuals using the Internet,,%,25,AZE,Azerbaijan,79.8,2018,,State Statistical Committee of the Republic of Azerbaijan,Refers to the proportion of individuals who used the Internet from any location in the last three months. Access can be via a fixed or mobile network.,AZE
11624,i99H,Individuals using the Internet,,%,25,AZE,Azerbaijan,81.1,2019,,State Statistical Committee of the Republic of Azerbaijan,Refers to the proportion of individuals who used the Internet from any location in the last three months. Access can be via a fixed or mobile network.,AZE
11624,i99H,Individuals using the Internet,,%,25,AZE,Azerbaijan,84.6,2020,,State Statistical Committee of the Republic of Azerbaijan,Refers to the proportion of individuals who used the Internet from any location in the last three months. Access can be via a fixed or mobile network.,AZE
11624,i99H,Individuals using the Internet,,%,25,AZE,Azerbaijan,86.0,2021,,State Statistical Committee of the Republic of Azerbaijan,Refers to the proportion of individuals who used the Internet from any location in the last three months. Access can be via a fixed or mobile network.,AZE
11624,i99H,Individuals using the Internet,,%,25,AZE,Azerbaijan,88.0,2022,,State Statistical Committee of the Republic of Azerbaijan,Refers to the proportion of individuals who used the Internet from any location in the last three months. Access can be via a fixed or mobile network.,AZE
