seriesID,seriesCode,seriesName,seriesParent,seriesUnits,entityID,entityIso,entityName,dataValue,dataYear,dataNote,dataSource,seriesDescription,country_iso3
19257,i4213tfbb,Fixed-broadband subscriptions,,per 100 people,24,AUT,Austria,2523300.0,2016,,RTR GmbH,"Refers to fixed subscriptions to high-speed access to the public Internet (a TCP/IP connection), at downstream speeds equal to, or greater than, 256 kbit/s divided by population and multiplied by 100",AUT
19257,i4213tfbb,Fixed-broadband subscriptions,,per 100 people,24,AUT,Austria,2511400.0,2017,,RTR GmbH,"Refers to fixed subscriptions to high-speed access to the public Internet (a TCP/IP connection), at downstream speeds equal to, or greater than, 256 kbit/s divided by population and multiplied by 100",AUT
19257,i4213tfbb,Fixed-broadband subscriptions,,per 100 people,24,AUT,Austria,2521200.0,2018,,Austrian Regulatory Authority for Broadcasting and Telecommunications,"Refers to fixed subscriptions to high-speed access to the public Internet (a TCP/IP connection), at downstream speeds equal to, or greater than, 256 kbit/s divided by population and multiplied by 100",AUT
19257,i4213tfbb,Fixed-broadband subscriptions,,per 100 people,24,AUT,Austria,2518900.0,2019,,Austrian Regulatory Authority for Broadcasting and Telecommunications,"Refers to fixed subscriptions to high-speed access to the public Internet (a TCP/IP connection), at downstream speeds equal to, or greater than, 256 kbit/s divided by population and multiplied by 100",AUT
19257,i4213tfbb,Fixed-broadband subscriptions,,per 100 people,24,AUT,Austria,2606000.0,2020,,Austrian Regulatory Authority for Broadcasting and Telecommunications,"Refers to fixed subscriptions to high-speed access to the public Internet (a TCP/IP connection), at downstream speeds equal to, or greater than, 256 kbit/s divided by population and multiplied by 100",AUT
19257,i4213tfbb,Fixed-broadband subscriptions,,per 100 people,24,AUT,Austria,2623200.0,2021,,Austrian Regulatory Authority for Broadcasting and Telecommunications,"Refers to fixed subscriptions to high-speed access to the public Internet (a TCP/IP connection), at downstream speeds equal to, or greater than, 256 kbit/s divided by population and multiplied by 100",AUT
19257,i4213tfbb,Fixed-broadband subscriptions,,per 100 people,24,AUT,Austria,2649990.0,2022,,Austrian Regulatory Authority for Broadcasting and Telecommunications,"Refers to fixed subscriptions to high-speed access to the public Internet (a TCP/IP connection), at downstream speeds equal to, or greater than, 256 kbit/s divided by population and multiplied by 100",AUT
19257,i4213tfbb,Fixed-broadband subscriptions,,per 100 people,24,AUT,Austria,2681840.0,2023,,Austrian Regulatory Authority for Broadcasting and Telecommunications,"Refers to fixed subscriptions to high-speed access to the public Internet (a TCP/IP connection), at downstream speeds equal to, or greater than, 256 kbit/s divided by population and multiplied by 100",AUT
19257,i4213tfbb,Fixed-broadband subscriptions,,per 100 people,25,AZE,Azerbaijan,475295.0,2010,,Ministry of Communications and Information Technologies,"Refers to fixed subscriptions to high-speed access to the public Internet (a TCP/IP connection), at downstream speeds equal to, or greater than, 256 kbit/s divided by population and multiplied by 100",AZE
19257,i4213tfbb,Fixed-broadband subscriptions,,per 100 people,25,AZE,Azerbaijan,973869.0,2011,,Ministry of Communications and Information Technologies (MC&IT),"Refers to fixed subscriptions to high-speed access to the public Internet (a TCP/IP connection), at downstream speeds equal to, or greater than, 256 kbit/s divided by population and multiplied by 100",AZE
